year,statefips,date1,ozone
2011,33,04jan2011,28.000448
2011,34,04jan2011,15.650112
2011,35,04jan2011,39.172592
2011,36,04jan2011,17.23616
2011,37,04jan2011,32.831715
2011,38,04jan2011,31.932411
2011,39,04jan2011,27.653608
2011,40,04jan2011,32.478912
2011,41,04jan2011,20.409431
2011,42,04jan2011,24.641003
2011,44,04jan2011,23.288153
2011,45,04jan2011,36.380962
2011,46,04jan2011,34.689022
2011,47,04jan2011,36.20998
2011,48,04jan2011,24.259333
2011,49,04jan2011,23.497702
2011,50,04jan2011,28.578415
2011,51,04jan2011,29.633654
2011,53,04jan2011,16.057856
2011,54,04jan2011,32.244408
2011,55,04jan2011,31.579926
2011,56,04jan2011,43.206028
2011,1,05jan2011,26.060993
2011,4,05jan2011,26.033094
2011,5,05jan2011,33.459301
2011,6,05jan2011,19.858931
2011,8,05jan2011,41.383259
2011,9,05jan2011,30.361683
2011,10,05jan2011,27.847389
2011,11,05jan2011,29.567505
2011,12,05jan2011,32.913631
2011,13,05jan2011,21.206482
2011,16,05jan2011,29.679979
2011,17,05jan2011,20.859735
2011,18,05jan2011,24.206161
2011,19,05jan2011,32.000286
2011,20,05jan2011,36.103039
2011,21,05jan2011,28.069786
2011,22,05jan2011,29.565884
2011,23,05jan2011,34.37093
2011,24,05jan2011,29.710835
2011,25,05jan2011,31.037054
2011,26,05jan2011,26.318653
2011,27,05jan2011,29.257727
2011,28,05jan2011,28.445452
2011,29,05jan2011,29.830582
2011,30,05jan2011,39.833241
2011,31,05jan2011,34.593708
2011,32,05jan2011,25.917963
2011,33,05jan2011,34.372074
2011,34,05jan2011,26.11105
2011,35,05jan2011,39.291393
2011,36,05jan2011,27.685133
2011,37,05jan2011,25.791515
2011,38,05jan2011,31.98694
2011,39,05jan2011,25.215532
2011,40,05jan2011,34.731941
2011,41,05jan2011,15.43194
2011,42,05jan2011,28.103127
2011,44,05jan2011,31.807863
2011,45,05jan2011,22.576025
2011,46,05jan2011,39.933033
2011,47,05jan2011,26.883677
2011,48,05jan2011,33.834419
2011,49,05jan2011,22.990973
2011,50,05jan2011,37.397442
2011,51,05jan2011,33.085346
2011,53,05jan2011,21.809095
2011,54,05jan2011,31.828508
2011,55,05jan2011,26.221939
