year,statefips,countyfips,month,ozone
2011,6,6057,1,28.71303
2011,6,6059,1,27.085426
2011,6,6061,1,20.569839
2011,6,6063,1,32.135799
2011,6,6065,1,34.345146
2011,6,6067,1,16.410091
2011,6,6069,1,27.635321
2011,6,6071,1,32.69865
2011,6,6073,1,31.715776
2011,6,6075,1,16.270002
2011,6,6077,1,14.183696
2011,6,6079,1,31.658747
2011,6,6081,1,16.970638
2011,6,6083,1,34.077816
2011,6,6085,1,18.858652
2011,6,6087,1,24.810244
2011,6,6089,1,22.843374
2011,6,6091,1,31.336653
2011,6,6093,1,27.119663
2011,6,6095,1,18.215857
2011,6,6097,1,14.533075
2011,6,6099,1,15.444424
2011,6,6101,1,19.798882
2011,6,6103,1,22.044016
2011,6,6105,1,25.911873
2011,6,6107,1,20.0816
2011,6,6109,1,28.153276
2011,6,6111,1,36.593845
2011,6,6113,1,18.348274
2011,6,6115,1,21.181852
2011,8,8001,1,32.07457
2011,8,8003,1,41.276722
2011,8,8005,1,33.49353
2011,8,8007,1,41.969109
2011,8,8009,1,37.708092
2011,8,8011,1,35.52774
2011,8,8013,1,40.446754
2011,8,8014,1,35.869919
2011,8,8015,1,42.774181
2011,8,8017,1,36.481709
2011,8,8019,1,45.902397
2011,8,8021,1,42.872772
2011,8,8023,1,42.116165
2011,8,8025,1,37.165878
2011,8,8027,1,43.03994
2011,8,8029,1,39.01289
2011,8,8031,1,31.636503
2011,8,8033,1,42.516514
2011,8,8035,1,37.539391
2011,8,8037,1,41.612011
2011,8,8039,1,39.983002
2011,8,8041,1,40.299221
2011,8,8043,1,41.874401
2011,8,8045,1,37.625721
2011,8,8047,1,46.281391
2011,8,8049,1,43.971302
2011,8,8051,1,40.16478
2011,8,8053,1,44.928612
2011,8,8055,1,41.847927
2011,8,8057,1,43.629086
2011,8,8059,1,36.849243
2011,8,8061,1,35.661789
2011,8,8063,1,35.993355
2011,8,8065,1,43.119385
2011,8,8067,1,41.193516
2011,8,8069,1,35.474285
2011,8,8071,1,41.787136
2011,8,8073,1,37.445736
2011,8,8075,1,33.577831
2011,8,8077,1,40.112144
2011,8,8079,1,43.693104
2011,8,8081,1,44.527897
2011,8,8083,1,40.948383
2011,8,8085,1,39.975693
2011,8,8087,1,33.324081
2011,8,8089,1,36.212101
2011,8,8091,1,42.285763
2011,8,8093,1,43.646416
2011,8,8095,1,34.283901
2011,8,8097,1,40.60004
2011,8,8099,1,34.610893
2011,8,8101,1,38.081429
2011,8,8103,1,47.452553
2011,8,8105,1,42.847755
2011,8,8107,1,42.616749
2011,8,8109,1,42.041183
2011,8,8111,1,45.162453
2011,8,8113,1,43.411015
2011,8,8115,1,33.921658
2011,8,8117,1,43.814503
2011,8,8119,1,42.274471
2011,8,8121,1,34.400021
2011,8,8123,1,34.830044
2011,8,8125,1,34.521439
2011,9,9001,1,25.242147
2011,9,9003,1,29.265627
2011,9,9005,1,32.333683
2011,9,9007,1,28.458822
2011,9,9009,1,26.979609
2011,9,9011,1,30.673986
2011,9,9013,1,30.785381
2011,9,9015,1,31.83238
2011,10,10001,1,29.950226
2011,10,10003,1,27.07395
2011,10,10005,1,31.284019
2011,11,11001,1,25.911106
2011,12,12001,1,37.674236
2011,12,12003,1,36.290104
2011,12,12005,1,38.391205
2011,12,12007,1,37.296459
2011,12,12009,1,41.260868
2011,12,12011,1,37.058403
2011,12,12013,1,36.99139
2011,12,12015,1,39.722389
2011,12,12017,1,39.569771
2011,12,12019,1,35.370632
2011,12,12021,1,39.259182
2011,12,12023,1,36.578289
2011,12,12027,1,39.714111
2011,12,12029,1,38.77206
2011,12,12031,1,34.658157
2011,12,12033,1,37.915424
2011,12,12035,1,39.060162
2011,12,12037,1,40.403393
2011,12,12039,1,35.843327
2011,12,12041,1,37.738098
2011,12,12043,1,41.112431
2011,12,12045,1,39.256176
2011,12,12047,1,36.688915
2011,12,12049,1,40.26757
2011,12,12051,1,40.897373
2011,12,12053,1,40.2057
2011,12,12055,1,40.894009
2011,12,12057,1,37.814747
2011,12,12059,1,36.34256
2011,12,12061,1,42.961163
2011,12,12063,1,36.275925
2011,12,12065,1,36.824272
2011,12,12067,1,37.279732
2011,12,12069,1,39.11919
2011,12,12071,1,39.278057
2011,12,12073,1,35.62608
2011,12,12075,1,38.917656
2011,12,12077,1,36.815319
2011,12,12079,1,36.716705
2011,12,12081,1,38.819736
2011,12,12083,1,38.323589
2011,12,12085,1,41.855255
2011,12,12086,1,37.869179
2011,12,12087,1,43.824139
2011,12,12089,1,37.065887
2011,12,12091,1,37.062603
2011,12,12093,1,41.200634
2011,12,12095,1,37.553596
2011,12,12097,1,38.639088
2011,12,12099,1,40.014507
2011,12,12101,1,39.906918
2011,12,12103,1,39.241776
2011,12,12105,1,39.694134
2011,12,12107,1,37.955223
2011,12,12109,1,37.571087
2011,12,12111,1,42.193111
2011,12,12113,1,37.382732
2011,12,12115,1,39.991474
2011,12,12117,1,38.029041
2011,12,12119,1,38.735958
2011,12,12121,1,36.978794
2011,12,12123,1,38.128063
2011,12,12125,1,36.944447
2011,12,12127,1,38.820618
2011,12,12129,1,37.306389
2011,12,12131,1,37.181053
2011,12,12133,1,36.62936
2011,13,13001,1,35.052521
2011,13,13003,1,35.549759
2011,13,13005,1,35.110207
2011,13,13007,1,35.669064
2011,13,13009,1,33.975075
2011,13,13011,1,34.63282
