year,statefips,date1,pm
2011,26,04jan2011,12.026043
2011,27,04jan2011,14.460477
2011,28,04jan2011,11.388992
2011,29,04jan2011,10.804429
2011,30,04jan2011,8.3956604
2011,31,04jan2011,12.571808
2011,32,04jan2011,11.568316
2011,33,04jan2011,13.223397
2011,34,04jan2011,17.44244
2011,35,04jan2011,10.294659
2011,36,04jan2011,16.595926
2011,37,04jan2011,10.751856
2011,38,04jan2011,10.168146
2011,39,04jan2011,9.7743216
2011,40,04jan2011,10.955334
2011,41,04jan2011,24.86408
2011,42,04jan2011,12.948675
2011,44,04jan2011,12.317188
2011,45,04jan2011,11.740677
2011,46,04jan2011,10.06376
2011,47,04jan2011,9.9723301
2011,48,04jan2011,12.180654
2011,49,04jan2011,37.944443
2011,50,04jan2011,12.868612
2011,51,04jan2011,9.482873
2011,53,04jan2011,24.870123
2011,54,04jan2011,9.8834457
2011,55,04jan2011,15.290042
2011,56,04jan2011,10.638406
2011,1,05jan2011,14.199251
2011,4,05jan2011,10.467494
2011,5,05jan2011,11.712503
2011,6,05jan2011,10.34584
2011,8,05jan2011,4.748796
2011,9,05jan2011,10.90476
2011,10,05jan2011,14.820685
2011,11,05jan2011,9.8269634
2011,12,05jan2011,9.2289085
2011,13,05jan2011,14.592233
2011,16,05jan2011,14.833494
2011,17,05jan2011,14.505196
2011,18,05jan2011,14.958377
2011,19,05jan2011,12.363628
2011,20,05jan2011,11.431653
2011,21,05jan2011,13.273988
2011,22,05jan2011,9.188674
2011,23,05jan2011,8.6817188
2011,24,05jan2011,11.483236
2011,25,05jan2011,11.575729
2011,26,05jan2011,15.102608
2011,27,05jan2011,13.562707
2011,28,05jan2011,10.746618
2011,29,05jan2011,12.328067
2011,30,05jan2011,9.1394043
2011,31,05jan2011,11.852207
2011,32,05jan2011,12.080157
2011,33,05jan2011,11.187178
2011,34,05jan2011,11.192584
2011,35,05jan2011,6.6045165
2011,36,05jan2011,10.896218
2011,37,05jan2011,15.160678
2011,38,05jan2011,10.402687
2011,39,05jan2011,15.460017
2011,40,05jan2011,11.028303
2011,41,05jan2011,15.936213
2011,42,05jan2011,13.062728
2011,44,05jan2011,10.153595
2011,45,05jan2011,15.145975
2011,46,05jan2011,9.6724548
2011,47,05jan2011,12.87148
2011,48,05jan2011,10.524963
2011,49,05jan2011,36.661221
2011,50,05jan2011,11.000046
2011,51,05jan2011,10.265032
2011,53,05jan2011,10.72745
2011,54,05jan2011,11.879846
2011,55,05jan2011,18.423559
2011,56,05jan2011,10.17037
2011,1,06jan2011,8.9796848
2011,4,06jan2011,9.9480104
2011,5,06jan2011,8.6695766
2011,6,06jan2011,12.036569
2011,8,06jan2011,7.6238093
2011,9,06jan2011,15.666206
2011,10,06jan2011,19.477844
2011,11,06jan2011,16.682093
